experiment_dir,experiment_name,dataset,mode,scheduler,scheduler_ablation,seed,partition_seed,arch_seed,split_protocol,rounds,participation_rate,noise_multiplier,dp_enabled,summary_mode,transfer_package_mode,accounting_releases_per_round,profile_csv,final_accuracy,final_macro_f1,uplink_mb,downlink_mb,time_s,energy_j,epsilon_max,epsilon_mean,num_selected_clients
outputs/palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed44_indsplit_trace_20260419_191813,palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed44_indsplit_trace_20260419_191813,mnist,Stats-only,mobile,no_deficit,44,44,44,independent,15,0.4,0.5,true,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.46312499999999995,0.35323032923042774,0.01483917236328125,0.0,10.32955320644748,6.928381374359131,137.93356943375483,81.38357739372306,4
outputs/palmfl_v8_mnist_stats_upload_only_no_noise_seed42_indsplit_trace_20260419_163805,palmfl_v8_mnist_stats_upload_only_no_noise_seed42_indsplit_trace_20260419_163805,mnist,Stats-only-no-noise,mobile,,42,42,42,independent,15,0.4,0.0,false,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.53328125,0.43484613467007877,0.01483917236328125,0.0,22.942770788398448,5.296931754589081,0.0,0.0,4
outputs/palmfl_v8_mnist_stats_upload_only_no_noise_seed43_indsplit_trace_20260419_183711,palmfl_v8_mnist_stats_upload_only_no_noise_seed43_indsplit_trace_20260419_183711,mnist,Stats-only-no-noise,mobile,,43,43,43,independent,15,0.4,0.0,false,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.5510937499999999,0.44076068978756666,0.01483917236328125,0.0,15.466542502838921,5.715352203845978,0.0,0.0,4
outputs/palmfl_v8_mnist_stats_upload_only_no_noise_seed44_indsplit_trace_20260419_190841,palmfl_v8_mnist_stats_upload_only_no_noise_seed44_indsplit_trace_20260419_190841,mnist,Stats-only-no-noise,mobile,,44,44,44,independent,15,0.4,0.0,false,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.45515625000000004,0.34232807643711566,0.01483917236328125,0.0,10.32955320644748,6.928381374359131,0.0,0.0,4
outputs/palmfl_v8_mnist_stats_upload_only_seed42_indsplit_trace_20260419_000532,palmfl_v8_mnist_stats_upload_only_seed42_indsplit_trace_20260419_000532,mnist,Stats-only,mobile,,42,42,42,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5546875,0.45685405302792786,0.01483917236328125,0.0,22.942770788398448,5.29693175458908,146.196004342964,81.63516063710155,4
outputs/palmfl_v8_mnist_stats_upload_only_seed43_fixedsplit_cuda_20260418_180644,palmfl_v8_mnist_stats_upload_only_seed43_fixedsplit_cuda_20260418_180644,mnist,Stats-only,mobile,,43,42,42,fixed,15,0.4,0.5,true,full,full,0,,0.47406249999999994,0.3713951501995325,0.01483917236328125,0.0,11.449092208818149,6.769441637397016,137.93356943375483,89.58445830125719,4
outputs/palmfl_v8_mnist_stats_upload_only_seed43_indsplit_trace_20260419_003055,palmfl_v8_mnist_stats_upload_only_seed43_indsplit_trace_20260419_003055,mnist,Stats-only,mobile,,43,43,43,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.53,0.4210119364783168,0.01483917236328125,0.0,15.466542502838921,5.715352203845978,137.93356943375483,81.12793770966327,4
outputs/palmfl_v8_mnist_stats_upload_only_seed44_fixedsplit_cuda_20260418_181102,palmfl_v8_mnist_stats_upload_only_seed44_fixedsplit_cuda_20260418_181102,mnist,Stats-only,mobile,,44,42,42,fixed,15,0.4,0.5,true,full,full,0,,0.48687499999999995,0.39028592109680177,0.01483917236328125,0.0,12.394060479973549,5.253447715624861,154.37898078868042,89.25878552208968,4
outputs/palmfl_v8_mnist_stats_upload_only_seed44_indsplit_trace_20260419_005603,palmfl_v8_mnist_stats_upload_only_seed44_indsplit_trace_20260419_005603,mnist,Stats-only,mobile,,44,44,44,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.46312499999999995,0.35323032923042774,0.01483917236328125,0.0,10.32955320644748,6.928381374359131,137.93356943375483,81.38357739372306,4
outputs/smoke_count_only_transfer_20260419_155131,smoke_count_only_transfer_20260419_155131,fake,Count-only-transfer,mobile,,7,7,7,independent,2,0.5,0.5,true,histogram_only,counts_only,1,data/mobilebandwidth/real_mobile_profiles.csv,0.09875,0.017942375503480434,0.00019073486328125,0.00034332275390625,0.7250037201394048,0.14111479377746583,17.572280848830225,17.572280848830225,4
outputs/smoke_histogram_only_20260419_155111,smoke_histogram_only_20260419_155111,fake,Histogram-only,mobile,,7,7,7,independent,2,0.5,0.5,true,histogram_only,full,1,data/mobilebandwidth/real_mobile_profiles.csv,0.09875,0.017942375503480434,0.00019073486328125,0.0,0.4833109557498523,0.0940485143661499,17.572280848830225,17.572280848830225,4
outputs/smoke_mean_only_20260419_155122,smoke_mean_only_20260419_155122,fake,Mean-only,mobile,,7,7,7,independent,2,0.5,0.5,true,mean_only,full,2,data/mobilebandwidth/real_mobile_profiles.csv,0.10375,0.018776456359773874,0.00507354736328125,0.0,0.48404521326864924,0.0948760290145874,27.194103648752325,27.194103648752325,4
outputs/smoke_stats_no_noise_20260419_155141,smoke_stats_no_noise_20260419_155141,fake,Stats-only-no-noise,mobile,,7,7,7,independent,2,0.5,0.0,false,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.1175,0.02787336427718401,0.00995635986328125,0.0,0.4847794707874462,0.0957035436630249,0.0,0.0,4
