experiment_dir,dataset,mode,scheduler,scheduler_ablation,split_protocol,seed,partition_seed,arch_seed,noise_multiplier,dp_enabled,rounds,client_id,arch_name,num_samples,unique_labels,accuracy,macro_f1,loss
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,8,tiny_mobilenet,6807,9,0.4328125,0.34189051389694214,2.0458545684814453
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,9,tiny_mobilenet,5084,9,0.2484375,0.1283949911594391,2.938277244567871
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,0,tiny_resnet,5882,7,0.25625,0.1553260236978531,3.0725224018096924
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,1,tiny_resnet,6788,6,0.278125,0.18037787079811096,3.270172929763794
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,2,small_cnn,538,8,0.1171875,0.02097902074456215,2.3050766944885255
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,3,small_cnn,3117,9,0.3625,0.22424809634685516,2.5013601303100588
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,4,small_cnn,5373,7,0.2640625,0.12788036465644836,3.2417245864868165
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,5,wide_cnn,6027,7,0.28125,0.16398969292640686,2.974648952484131
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,6,wide_cnn,5030,5,0.10625,0.019209038466215134,2.306687355041504
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,7,wide_cnn,5354,4,0.10625,0.019209038466215134,2.3039681911468506
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,8,tiny_mobilenet,6807,9,0.50625,0.42087656259536743,1.8339433193206787
outputs/fedproto_cifar10_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232458,cifar10,FedProto-style,mobile,,fixed,44,42,42,0.5,true,20,9,tiny_mobilenet,5084,9,0.278125,0.1662868708372116,3.1551178455352784
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,0,tiny_resnet,6337,9,0.8703125,0.838045597076416,0.6316280722618103
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,1,tiny_resnet,8840,10,0.6390625,0.5465307831764221,1.7578040599822997
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,2,small_cnn,6771,8,0.71875,0.6539881825447083,1.3450501680374145
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,3,small_cnn,7976,5,0.4125,0.26626914739608765,2.3661306381225584
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,4,small_cnn,4703,10,0.740625,0.6880311965942383,0.9726465463638305
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,5,wide_cnn,1584,9,0.0953125,0.017403708770871162,2.3156862258911133
